"personaje","CJ","SWEET","CESAR","KENDL","RYDER","BIG SMOKE","CATALINA","WOOZIE","TENPENNY","PULASKI","TRUTH","TORENO","MADD DOGG","ZERO"
"CJ",0,48,42,9,25,27,27,20,19,11,22,12,11,14
"SWEET",48,0,6,6,11,12,0,0,3,0,3,0,2,0
"CESAR",42,6,0,9,0,0,0,1,1,0,4,1,1,0
"KENDL",9,6,9,0,0,0,0,1,1,0,4,0,1,0
"RYDER",25,11,0,0,0,10,0,0,3,0,0,0,0,0
"BIG SMOKE",27,12,0,0,10,0,0,0,5,3,0,0,0,0
"CATALINA",27,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOOZIE",20,0,1,1,0,0,0,0,0,0,0,0,0,2
"TENPENNY",19,3,1,1,3,5,0,0,0,11,0,0,0,0
"PULASKI",11,0,0,0,0,3,0,0,11,0,0,0,0,0
"TRUTH",22,3,4,4,0,0,0,0,0,0,0,0,1,2
"TORENO",12,0,1,0,0,0,0,0,0,0,0,0,1,0
"MADD DOGG",11,2,1,1,0,0,0,0,0,0,1,1,0,0
"ZERO",14,0,0,0,0,0,0,2,0,0,2,0,0,0
